Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,
Afghanistan,298147102.8,325806949.7,238583385.4,217194107.1,268238787.7,199517108.8,185878310.1,191407113.2,198074728.6,226306243.7
Angola,3500794836,3639496374,4144634851,6090751702,6846249313,3608299115,2764054937,3062872914,1983613748,1470938717
Albania,185893242,197006789.2,183204695.7,180015508.8,178120368,132350667.6,130853203.6,144382688.7,175886688.6,197225913.3
Andorra,,,,,,,,,,
United Arab Emirates,17504697073,19181756297,19024098026,23561061947,22755071477,,,,,
Argentina,3475348407,4051930105,4563217859,5137974301,4979442724,5482616701,4509647660,5459643672,3842852365,3132654926
Armenia,395011507.8,390871433.9,380571678.9,444551859.5,457807021.8,447379807.5,431396218.6,443610413.3,513252026.5,652000174.8
American Samoa,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,
Australia,23217692816,26597198655,26216580848,24825262589,25783708714,24046205860,26382947050,27691112417,26839820914,26079346314
Austria,3218351224,3409721209,3187227449,3229065841,3305159256,2665409782,2885947386,3153118624,3387982012,3336542768
Azerbaijan,1476608734,3080084996,3246122613,3367574161,3427179917,2900551382,1396969108,1528859592,1672176471,1854235294
Burundi,,,58966662.28,60859500.09,62177428.74,66164584.44,66462843.08,63908678.43,65436595.26,84689413.92
Belgium,5244720513,5499370964,5168997834,5263164883,5191507315,4202062770,4255489555,4432808396,4840126058,4761195701
Benin,,,78223091.04,86003157.64,92990706.19,90896085.89,79581568.05,116142782.4,90212425.99,68112390.31
Burkina Faso,123700474.7,138850860.2,147729698.9,166136345.2,177166971.8,147934736.7,149467363.2,191065838.8,305781079.1,357921557.5
Bangladesh,1624625086,1801539802,1823425076,2047989071,2355991525,2815281641,3239753510,3266033239,3649623808,4348501895
Bulgaria,832549293,757931260,722052495,811634330.2,747532532.1,632509635,670592858.4,720037970.9,961297274.6,2158557527
Bahrain,842819148.9,1033510638,1182180851,1347606383,1475265957,1442021277,1505534574,1532712766,1527659574,1557712766
"Bahamas, The",,,,,,,,,,
Bosnia and Herzegovina,219915489.5,211878260.6,197344650.2,197617188.8,190380454.6,162215681.9,157912010.6,156258302.1,172073317.8,165369204.4
Belarus,767699285.9,756277351.3,807423262.8,959801690.3,1000013449,709908846.1,592182331.4,625637816.9,709713316.4,773713028.7
Belize,15337250,15416250,15219125,17778875,19916875,19717625,21712887.5,23055950,23341162.5,24424950
Bermuda,,,,,,,,,,
