Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,
Afghanistan,51.82178913,56.24722763,54.70023262,58.79165857,61.86532919,60.59701482,57.20370424,53.35536322,52.80462038,52.41704109
Angola,28.62971853,28.8143365,29.11115709,29.20983831,28.23624771,29.1040242,29.17977414,28.0424247,28.50920176,28.4208104
Albania,21.63144957,23.414815,21.55597679,20.05028087,19.94217042,19.54397528,17.81730527,19.01906113,18.82011853,18.63878032
Andorra,11.25750375,12.31364419,11.21333853,10.22088866,9.589170072,10.34568624,8.943875425,9.137722902,9.181820028,9.066401367
United Arab Emirates,43.5280748,45.90353609,47.64094019,44.3465132,41.09563287,45.90634891,43.22089056,43.82369016,43.81418539,43.66702552
Argentina,13.7363052,14.18995612,13.35883878,14.70187086,13.77937715,14.58721171,14.11129971,13.61076539,13.63250289,13.51118918
Armenia,35.39548583,39.93109313,40.53562091,38.4153887,38.00214063,37.38765045,34.24036582,34.90719855,34.03041055,33.65637939
American Samoa,5.822674196,5.495040024,5.582985487,5.575990242,5.977969295,6.029516789,6.543290084,6.339296397,6.35907699,6.300155035
Antigua and Barbuda,16.89122391,16.08669375,16.78599453,16.94753609,16.48732491,18.14588457,17.6733477,17.18390999,17.5653142,17.59200058
Australia,6.785235613,6.707494797,6.995491287,6.964302296,6.880050681,6.848476723,6.815366192,6.673638956,6.738086439,6.745497859
Austria,15.7085395,16.0961842,14.50094818,14.50183038,12.81319702,13.35116934,12.30410306,11.96813105,12.31952644,12.16821803
Azerbaijan,25.08164307,27.00590351,28.76775881,28.23862769,27.48496809,26.06618737,24.38549474,25.0632901,25.13594199,25.4950546
Burundi,33.17087207,35.29849847,37.10546174,35.06835865,34.92429065,35.79366221,35.48687315,32.8625076,33.76642862,33.27977863
Belgium,16.88463686,16.14879057,15.11497046,14.23228565,12.83901513,13.20164452,12.37628991,12.82757618,12.76304285,12.6724532
Benin,41.36262362,41.77270482,43.41596784,39.1788092,39.31147497,49.03490782,46.48119179,45.03636256,46.24556121,46.8584555
Burkina Faso,54.03992338,51.23693236,54.18097152,47.34169055,48.4137269,60.27252262,56.2288836,53.53072599,53.64967602,53.67033962
Bangladesh,56.41649854,60.5358739,68.94271136,66.42738113,73.27082296,68.97033719,67.7673598,62.75318316,63.27546257,63.4255285
Bulgaria,22.7674356,25.5775453,22.6468314,21.22186088,21.63806967,20.32357683,19.40617985,19.66415885,19.65003099,19.36594583
Bahrain,63.75377018,65.33843793,68.07534915,64.28454239,59.51273914,66.36107967,61.64582457,61.67431284,60.43815811,59.21710593
"Bahamas, The",15.43740141,15.61181668,16.42049683,15.70876377,16.18216874,16.20392015,15.86345443,15.39542797,15.72864111,15.59065792
Bosnia and Herzegovina,34.36075673,38.14529617,34.47534031,32.95117432,31.60560208,32.86433955,28.77587802,29.92213704,29.93448538,29.46633319
Belarus,22.09841962,19.55318145,18.88122818,19.78007712,20.21540632,18.50294397,16.71207883,16.40896425,16.50189248,16.42351285
Belize,18.69962284,21.04575637,19.6942048,22.42094081,21.65038865,22.05209141,21.08657207,20.95634663,21.26808522,21.17639652
Bermuda,7.093306446,6.862490575,6.830379818,6.487238908,6.882271843,7.007919722,7.455581683,7.195360215,7.154130038,7.069562328
Bolivia,30.99186302,27.93127669,27.74731988,26.09198709,27.64739605,28.74197769,27.56633411,27.1847545,27.01261068,26.83286559
Brazil,14.0825006,14.6948008,13.78803347,13.15581696,13.00059985,11.69149461,11.42284509,11.66527298,11.62699706,11.65399121
Barbados,19.93972371,19.16245671,20.0960981,20.12125502,20.19670971,21.94444639,21.08043284,20.92639263,21.26503022,21.34389367
Brunei Darussalam,6.393486339,7.345177681,7.610637069,7.616318907,7.745818643,7.926244379,7.649925898,7.348749548,7.683014194,7.680643971
Bhutan,39.72804014,38.04491799,44.30762611,42.70851915,48.53903271,44.4829243,43.64904826,40.16357364,40.41256497,40.29859817
Botswana,26.14248485,26.54697541,26.62372992,25.67039823,25.16656494,26.15619973,25.20036677,24.88065732,24.91056457,24.71873626
Canada,7.884019371,7.340076929,7.600495484,7.275026619,7.492005176,7.279802012,6.205823409,7.281874712,7.07877626,7.100156005
Switzerland,13.15189172,13.81779708,12.71146517,12.47195588,10.60883998,11.59075488,10.60281759,9.854778198,10.15005926,9.902709701
Channel Islands,,,,,,,,,,
Chile,21.13580447,22.4347061,21.42944248,22.96134961,22.30595213,23.55853654,23.76052341,21.93712901,22.72046987,22.76585719
China,53.28667651,58.40555752,58.90513577,63.28657095,60.26956062,56.20412426,51.58657201,49.92778443,49.27568382,47.67263439
Cote d'Ivoire,50.91110203,56.51620975,56.69822576,48.79181091,48.05276242,63.41107876,61.24645868,55.04316481,55.59821808,55.62337378
Cameroon,59.4274705,58.86976922,61.32736378,56.76664192,56.35775552,69.51058018,65.0564255,62.3153609,63.83099556,64.47088106
"Congo, Dem. Rep.",35.88052514,36.98630498,39.0123562,38.18559351,36.66375068,40.27107846,37.9286139,35.59581848,36.47254408,35.86088793
"Congo, Rep.",38.03920932,38.52385349,39.05647597,41.03303244,38.07507474,41.60345611,40.36513118,38.36895785,39.50958584,39.30341272
Colombia,25.0816067,25.94720366,23.4265212,24.2848162,23.85881131,22.92043409,22.72386043,22.0407325,22.11926649,22.01072747
Comoros,17.12974601,17.91529648,17.34428608,17.73411712,17.0517918,17.9161831,17.31528735,16.63714372,17.18012088,17.15567571
Cabo Verde,34.11058979,46.89453877,52.29133025,42.89778424,39.18447447,53.84034644,47.92595122,52.61609912,50.05668918,51.11721004
Costa Rica,18.10693704,19.56315996,18.87125053,19.18037888,18.28090193,18.5648497,17.90242599,17.43892166,17.52546596,17.42174135
Cuba,18.07248309,18.92277826,19.05070976,19.19138531,19.5657393,20.0554292,19.35410515,18.38056914,18.21883434,17.72659724
Curacao,,,,,,,,,,
Cayman Islands,,,,,,,,,,
Cyprus,18.80666676,18.49284254,16.81350235,16.29507954,16.41203304,17.13237684,14.41331917,15.1441739,15.58861663,15.57380293
